 [
 |Time: 01:22:52.106 |File Count: 40
 |Time: 01:22:52.402 |File Count: 45
 |Time: 01:23:45.960 |File Count: 30
 |Time: 01:23:46.231 |File Count: 30
 |Time: 01:27:03.289 |File Count: 31
 |Time: 01:27:03.706 |File Count: 32 
 |Time: 01:27:04.215 |File Count: 33 
 |Time: 01:27:04.830 |File Count: 31
 |Time: 01:27:05.514 |File Count: 32
 |Time: 01:27:05.912 |File Count: 32 
 |Time: 01:27:06.216 |File Count: 32 
 |Time: 01:27:06.216 |File Count: 32
 |Time: 01:27:06.471 |File Count: 32
 |Time: 01:27:06.472 |File Count: 32
 |Time: 01:27:06.834 |File Count: 33
 |Time: 01:33:58.900 |File Count: 31
 |Time: 01:33:59.357 |File Count: 31 
 |Time: 01:35:41.991 |File Count: 32
 |Time: 01:35:42.635 |File Count: 32 
 |Time: 01:35:43.276 |File Count: 32 
 |Time: 01:43:04.393 |File Count: 32
 |Time: 01:43:04.669 |File Count: 32
 |Time: 01:48:53.450 |File Count: 30
 |Time: 01:48:53.716 |File Count: 30
 |Time: 01:48:54.129 |File Count: 31
 |Time: 01:48:54.316 |File Count: 30 
 |Time: 01:53:52.937 |File Count: 31
 |Time: 01:53:53.212 |File Count: 30
 |Time: 01:53:53.531 |File Count: 30 
 |Time: 01:54:12.570 |File Count: 32
 |Time: 01:54:12.834 |File Count: 32 
 |Time: 01:58:10.622 |File Count: 29 
 |Time: 01:58:52.862 |File Count: 31 
 |Time: 01:58:53.133 |File Count: 31
 |Time: 01:58:53.432 |File Count: 31
 |Time: 01:59:44.771 |File Count: 31
 |Time: 01:59:45.102 |File Count: 30 
 |Time: 02:01:40.451 |File Count: 30
 |Time: 02:04:18.265 |File Count: 32
 |Time: 02:04:18.558 |File Count: 33
 |Time: 02:04:18.919 |File Count: 32
 |Time: 02:05:09.987 |File Count: 31
 |Time: 02:05:10.725 |File Count: 31 
 |Time: 02:05:10.942 |File Count: 31 
 |Time: 02:05:11.572 |File Count: 31 
 |Time: 02:09:09.052 |File Count: 32
 |Time: 02:09:09.370 |File Count: 31 
 |Time: 02:09:09.714 |File Count: 31
 |Time: 02:10:42.097 |File Count: 32 
 |Time: 02:10:42.312 |File Count: 33
 |Time: 02:15:28.439 |File Count: 33 
 |Time: 02:16:56.419 |File Count: 30
 |Time: 02:16:56.764 |File Count: 29 
 |Time: 02:16:57.105 |File Count: 31 
 |Time: 02:16:57.403 |File Count: 31 
 |Time: 02:19:44.922 |File Count: 0  
 |Time: 02:19:45.200 |File Count: 31 
 |Time: 02:20:00.930 |File Count: 31 
 |Time: 02:20:01.281 |File Count: 30
 |Time: 02:20:01.542 |File Count: 30
 |Time: 02:20:34.771 |File Count: 31
 |Time: 02:20:35.040 |File Count: 31
