 [|Date: 2020-06-15 |Time: 01:22:51.804 | ID: 134 |Value: 31.843138 |Data: 0.5647,
|Date: 2020-06-15 |Time: 01:22:52.106 | ID: 159 |Value: 32.062744 |Data: 0.8735,
|Date: 2020-06-15 |Time: 01:22:52.402 | ID: 159 |Value: 32.392159 |Data: 0.2345,
|Date: 2020-06-15 |Time: 01:23:45.960 | ID: 159 |Value: 30.470589 |Data: 0.5623,
|Date: 2020-06-15 |Time: 01:23:46.231 | ID: 159 |Value: 30.854902 |Data: 0.5382,
|Date: 2020-06-15 |Time: 01:27:03.289 | ID: 156 |Value: 31.568628 |Data: 0.8765,
|Date: 2020-06-15 |Time: 01:27:03.706 | ID: 151 |Value: 32.227451 |Data: 0.5643,
|Date: 2020-06-15 |Time: 01:27:04.215 | ID: 152 |Value: 33.105881 |Data: 0.6789,
|Date: 2020-06-15 |Time: 01:27:04.830 | ID: 135 |Value: 31.952942 |Data: 0.7865,
|Date: 2020-06-15 |Time: 01:27:05.514 | ID: 133 |Value: 32.556862 |Data: 0.2456,
|Date: 2020-06-15 |Time: 01:27:05.912 | ID: 194 |Value: 32.392159 |Data: 0.1234,
|Date: 2020-06-15 |Time: 01:27:06.216 | ID: 181 |Value: 32.886276 |Data: 0.2345,
|Date: 2020-06-15 |Time: 01:27:06.216 | ID: 174 |Value: 32.501961 |Data: 0.2345,
|Date: 2020-06-15 |Time: 01:27:06.471 | ID: 104 |Value: 32.007843 |Data: 0.4563,
|Date: 2020-06-15 |Time: 01:27:06.472 | ID: 182 |Value: 32.886276 |Data: 0.3452,
|Date: 2020-06-15 |Time: 01:27:06.834 | ID: 110 |Value: 33.380394 |Data: 0.5643,
|Date: 2020-06-15 |Time: 01:33:58.900 | ID: 195 |Value: 31.074511 |Data: 0.6743,
|Date: 2020-06-15 |Time: 01:33:59.357 | ID: 139 |Value: 31.788235 |Data: 0.3452,
|Date: 2020-06-15 |Time: 01:35:41.991 | ID: 150 |Value: 32.941177 |Data: 0.2367,
|Date: 2020-06-15 |Time: 01:35:42.635 | ID: 180 |Value: 32.721569 |Data: 0.6754,
|Date: 2020-06-15 |Time: 01:35:43.276 | ID: 150 |Value: 32.721569 |Data: 0.3876,
|Date: 2020-06-15 |Time: 01:43:04.393 | ID: 118 |Value: 32.831371 |Data: 0.9817,
|Date: 2020-06-15 |Time: 01:43:04.669 | ID: 118 |Value: 32.941177 |Data: 0.3671,
|Date: 2020-06-15 |Time: 01:48:53.450 | ID: 188 |Value: 30.470589 |Data: 0.8196,
|Date: 2020-06-15 |Time: 01:48:53.716 | ID: 158 |Value: 30.799999 |Data: 0.6728,
|Date: 2020-06-15 |Time: 01:48:54.129 | ID: 153 |Value: 31.129412 |Data: 0.1456,
|Date: 2020-06-15 |Time: 01:48:54.316 | ID: 123 |Value: 30.525490 |Data: 0.6789,
|Date: 2020-06-15 |Time: 01:53:52.937 | ID: 145 |Value: 31.733334 |Data: 0.2567,
|Date: 2020-06-15 |Time: 01:53:53.212 | ID: 165 |Value: 30.909803 |Data: 0.3678,
|Date: 2020-06-15 |Time: 01:53:53.531 | ID: 105 |Value: 30.909803 |Data: 0.2563,
|Date: 2020-06-15 |Time: 01:54:12.570 | ID: 185 |Value: 32.337254 |Data: 0.7643,] 
